swab.id;site;date;cluster_size;sex;age;forearm;body.mass;fat.amt;fat.method;percent.fat
WF16NY356;Williams Preserve;2015-Nov-13;15;F;NA;35.67;6.72;1.54;quantitative magnetic resonance;0.229166667
WF16NY357;Williams Preserve;2015-Nov-13;5;F;NA;39.55;9.18;2.67;quantitative magnetic resonance;0.290849673
WF16NY358;Williams Preserve;2015-Nov-13;1;M;NA;35.21;7.58;1.57;quantitative magnetic resonance;0.207124011
WF16NY359;Williams Preserve;2015-Nov-13;2;M;NA;37.9;7.4;1.67;quantitative magnetic resonance;0.225675676
WF16NY360;Williams Preserve;2015-Nov-13;1;F;NA;39.45;10.22;3.1;quantitative magnetic resonance;0.30332681
WF16NY501;Williams Preserve;2016-Feb-16;12;F;NA;36.99;7.04;1.115;quantitative magnetic resonance;0.158380682
WF16NY502;Williams Preserve;2016-Feb-16;12;M;NA;37.78;5.99;0.675;quantitative magnetic resonance;0.112687813
WF16NY503;Williams Preserve;2016-Feb-16;2;M;NA;37.28;5.72;0.73;quantitative magnetic resonance;0.127622378
WF16NY504;Williams Preserve;2016-Feb-16;2;M;NA;38.25;6.58;0.82;quantitative magnetic resonance;0.124620061
WF16NY505;Williams Preserve;2016-Feb-16;7;F;NA;37.65;7;0.86;quantitative magnetic resonance;0.122857143
WF16NY506;Williams Preserve;2016-Feb-16;7;F;NA;38.4;6.74;0.72;quantitative magnetic resonance;0.106824926
WF16NY507;Williams Preserve;2016-Feb-16;6;M;NA;37.06;6.54;0.815;quantitative magnetic resonance;0.124617737
WF16NY508;Williams Preserve;2016-Feb-16;6;M;NA;36.77;6.8;0.885;quantitative magnetic resonance;0.130147059
WF16NY509;Williams Preserve;2016-Feb-16;6;M;NA;36.17;6.86;1.025;quantitative magnetic resonance;0.14941691000000001
WF16NY510;Williams Preserve;2016-Feb-16;6;M;NA;36.67;6.18;0.645;quantitative magnetic resonance;0.104368932
WF16NY511;Williams Preserve;2016-Feb-16;5;F;NA;38.76;7.7;1.37;quantitative magnetic resonance;0.177922078
WF16NY512;Williams Preserve;2016-Feb-16;5;F;NA;38.26;7.77;1.515;quantitative magnetic resonance;0.194980695
WF16NY513;Williams Preserve;2016-Feb-16;5;M;NA;38.44;6.3;0.77;quantitative magnetic resonance;0.122222222
WF16NY514;Williams Preserve;2016-Feb-16;1;M;NA;35.69;5.43;0.63;quantitative magnetic resonance;0.116022099
WF16NY515;Williams Preserve;2016-Feb-16;1;F;NA;39.44;7.05;0.725;quantitative magnetic resonance;0.102836879
WF16NY516;Williams Preserve;2016-Feb-16;4;F;NA;38.39;7.7;1.25;quantitative magnetic resonance;0.162337662
WF16NY517;Williams Preserve;2016-Feb-16;4;F;NA;38.89;7.83;1.275;quantitative magnetic resonance;0.162835249
WF16NY518;Williams Preserve;2016-Feb-16;1;M;NA;39.18;7.02;1.18;quantitative magnetic resonance;0.168091168
WF16NY519;Williams Preserve;2016-Feb-16;9;F;NA;38.21;6.69;1.105;quantitative magnetic resonance;0.165171898
WF16NY520;Williams Preserve;2016-Feb-16;9;F;NA;37.89;7.78;1.93;quantitative magnetic resonance;0.248071979
NA;Aeolus;2008-Nov-18;NA;F;A;39.4;6.04;0.7895;soxhlet;0.130711921
NA;Aeolus;2008-Nov-18;NA;M;A;38.2;7.54;1.335;soxhlet;0.177055703
NA;Aeolus;2008-Nov-18;NA;M;J;37.4;7.24;12.232;soxhlet;0.168950276
NA;Aeolus;2008-Nov-18;NA;M;J;38;7.14;0.9477;soxhlet;0.132731092
NA;Aeolus;2008-Nov-18;NA;M;J;35.8;6.92;16.624;soxhlet;0.240231214
NA;Aeolus;2008-Nov-18;NA;F;J;37.1;6.66;10.799;soxhlet;0.162147147
NA;Aeolus;2008-Nov-18;NA;M;J;38;6.05;0.741;soxhlet;0.122479339
NA;Aeolus;2008-Nov-18;NA;M;J;36.5;6.69;12.569;soxhlet;0.187877429
NA;Aeolus;2008-Nov-18;NA;F;J;37.9;6.88;14.374;soxhlet;0.208924419
NA;Aeolus;2008-Nov-18;NA;M;A;36.8;7.43;11.161;soxhlet;0.150215343
NA;Aeolus;2008-Nov-18;NA;M;J;38.6;6.51;12.105;soxhlet;0.1859447
